,customer,weight,round,length
0,"[117, 27, 52, 97, 99, 59, 64, 63, 25, 24, 40, 108, 42, 19]","[1, 1, 1, 1, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1]",0,5145.6341928085
1,"[16, 103, 44, 30, 104, 105, 17, 36, 106, 51, 22]","[1, 2, 1, 1, 1, 2, 2, 1, 2, 1, 1]",0,3302.3839209720004
2,"[37, 122, 15, 69, 18, 13, 31]","[3, 3, 3, 1, 1, 1, 3]",0,2177.2673980301997
3,"[79, 89, 46, 95, 94, 3, 2, 7, 1, 45, 4]","[2, 2, 1, 1, 1, 1, 1, 1, 2, 2, 1]",1,5826.606211822701
4,"[105, 80, 120, 119, 101, 102, 81, 98, 61, 60, 62]","[2, 3, 1, 1, 1, 1, 1, 2, 1, 1, 1]",1,6527.1532243124
5,"[77, 100, 76, 78, 11, 10, 0, 91, 93, 109, 71, 90, 85, 86]","[1, 1, 1, 1, 1, 1, 1, 2, 1, 1, 1, 1, 1, 1]",1,6579.3462981620005
