,CID
0,8755
1,8756
2,8757
3,8759
4,8760
5,8761
6,8762
7,8763
8,9371
9,10031
10,10032
11,10033
12,10034
13,10035
14,10036
15,15626
16,15627
17,15628
18,15629
19,15630
20,15631
21,15632
22,15634
23,15635
24,15673
25,15676
26,15677
27,15678
28,16073
29,22561
30,22563
31,22564
32,22565
33,22576
34,22577
35,22578
36,22579
37,23628
38,23629
39,23630
40,23631
41,26371
42,26597
43,29429
44,29430
45,29431
46,29432
47,29433
48,29434
49,29435
50,29436
51,29437
52,29439
53,29440
54,29441
55,29442
56,29443
57,29444
58,29477
59,29478
60,29973
61,29974
62,29975
63,29976
64,29977
65,29978
66,29979
67,30697
68,30698
69,30699
70,33613
71,33861
72,37174
73,37175
74,37176
75,37177
76,37178
77,37179
78,37180
79,37181
80,37182
81,37184
82,37185
83,37186
84,37187
85,37211
86,37212
87,38379
88,38380
89,38381
90,38382
91,40921
92,41099
93,44156
94,48618
95,48619
96,48848
97,48849
98,51675
99,51676
100,51689
101,53036
102,53037
103,53038
104,53039
105,53041
106,53042
107,53043
108,53044
109,53045
110,53046
111,53047
112,53048
113,58335
114,58336
115,58337
116,58338
117,58339
118,58503
119,58504
120,58505
121,58506
122,58507
123,58508
124,58509
125,58867
126,59475
127,59476
