,BID
0,25401
1,25464
2,25519
3,25527
4,25533
5,25545
6,25557
7,25579
8,25597
9,25599
10,25667
11,25679
12,25680
13,25681
14,25719
15,25770
16,25802
17,25816
18,25826
19,25846
20,25919
21,25933
22,25947
23,25970
24,25989
25,25998
26,25999
27,26003
28,26051
29,26072
30,26075
31,26081
32,26084
33,26090
34,26138
35,26162
36,26164
37,26200
38,26202
39,26222
40,26234
41,26239
42,26270
43,26278
44,26288
45,26299
46,26312
47,26366
48,26374
49,26380
50,26401
51,26403
52,26419
53,26498
54,26522
55,26527
56,26528
57,26542
58,26550
59,26572
60,26606
61,26648
62,26650
63,26674
64,26686
65,26690
66,26695
67,26696
68,26730
69,26802
70,26817
71,26855
72,26887
73,26921
74,26930
75,26942
76,26944
77,26974
78,26978
79,26996
80,27006
81,27028
82,27035
83,27048
84,27059
85,27060
86,27081
87,27087
88,27154
89,27163
90,27164
91,27171
92,27187
93,27220
94,27259
95,27280
96,27304
97,27331
98,27372
99,27386
100,27400
101,27421
102,27460
103,27505
104,27515
105,27553
106,27594
107,27622
108,27689
109,27699
110,27723
111,27756
112,27766
113,27772
114,27844
115,27855
116,27863
117,27901
118,27904
119,27941
120,27962
121,27977
122,27988
123,27992
124,28005
125,28008
126,28063
127,28065
128,28106
129,28112
130,28135
131,28167
132,28170
133,28181
134,28188
135,28206
136,28222
137,28243
138,28253
139,28312
140,28334
141,28355
142,28375
143,28376
144,28380
145,28381
