,CID
0,9490
1,9720
2,9721
3,9913
4,9914
5,9915
6,9929
7,16168
8,16169
9,16170
10,16171
11,16172
12,16173
13,16753
14,16754
15,23504
16,23505
17,23506
18,23507
19,25350
20,30157
21,30158
22,30159
23,30160
24,30312
25,30503
26,30504
27,30505
28,37744
29,37745
30,37746
31,37747
32,37748
33,37749
34,37854
35,37855
36,37856
37,37857
38,37858
39,37859
40,37860
41,37861
42,37862
43,37864
44,37865
45,38168
46,38169
47,39943
48,45036
49,45037
50,45249
51,45250
52,45251
53,45252
54,45259
55,45260
56,45261
57,45262
58,45263
59,45408
60,45412
61,52536
62,52537
63,52538
64,52539
65,52540
66,52541
67,52542
68,52543
69,52886
70,52887
71,59119
72,59120
73,59121
74,59292
75,59293
76,60894
