,CID
0,12139
1,12140
2,12141
3,12142
4,12143
5,12144
6,12145
7,18926
8,18927
9,18928
10,18953
11,18954
12,18955
13,18956
14,18957
15,19032
16,19033
17,19034
18,19035
19,19036
20,19037
21,19038
22,19561
23,19844
24,19845
25,19846
26,19847
27,19848
28,19849
29,25831
30,25832
31,25833
32,25834
33,25921
34,25922
35,25923
36,26309
37,26310
38,26311
39,26312
40,26313
41,26314
42,26315
43,26316
44,26317
45,26318
46,26618
47,26619
48,26620
49,32901
50,32902
51,33219
52,33220
53,33221
54,33249
55,33250
56,33537
57,33538
58,33539
59,33574
60,33876
61,33877
62,40316
63,40317
64,40318
65,40604
66,40605
67,40892
68,40896
69,40897
70,41121
71,41122
72,41123
73,41124
74,41125
75,41126
76,41127
77,48037
78,48038
79,48039
80,48127
81,48133
82,48134
83,48301
84,48519
85,48520
86,54917
87,54918
88,55173
89,55174
90,55175
91,55176
92,55177
93,55233
94,55234
95,55503
96,55744
97,61288
98,61289
99,61290
100,61291
101,61324
102,61325
103,61326
104,61387
105,61388
106,61526
107,62002
