,customer,weight,round,length
0,"[117, 123, 124, 125, 63, 153, 147, 70, 148, 90, 31, 155, 154, 84, 83, 32, 89, 87, 30, 104, 43, 103, 151, 164, 150, 14, 152, 60, 174, 165, 110, 67, 163, 20, 140, 44, 52, 23, 93, 40, 41, 121, 42, 122, 96, 95, 94, 113, 138, 56, 51, 132, 134, 48, 79, 176, 80, 149, 131, 130, 24, 25, 182, 181, 179, 28, 143, 38, 118]","[1, 1, 1, 1, 3, 1, 1, 1, 1, 18, 1, 1, 2, 1, 1, 3, 1, 1, 1, 1, 2, 1, 1, 1, 1, 1, 1, 2, 3, 1, 1, 1, 1, 16, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 7, 2, 3, 2, 1, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 5, 1]",0,19162.664240380203
1,"[20, 160, 135, 68, 161, 69]","[3, 1, 1, 1, 1, 2]",1,7382.069361399001
