,CID
0,362
1,1998
2,1999
3,2000
4,2001
5,2002
6,2003
7,9905
8,12316
9,12317
10,23365
11,23366
12,23367
13,23368
14,23369
15,23484
16,23485
17,23486
18,23487
19,30531
20,30532
21,30533
22,30534
23,30535
24,30536
25,30537
26,30538
27,30539
28,30540
29,32760
30,32762
31,32785
32,38127
33,38137
34,38138
35,38139
36,38140
37,38141
38,38142
39,38143
40,38145
41,38225
42,38226
43,39868
44,45516
45,45517
46,45518
47,52812
48,52813
49,52814
50,52869
51,52870
52,52871
53,52872
54,52873
55,52874
56,52875
57,54781
58,54786
59,59256
60,59257
61,59258
62,59259
63,59260
64,59261
65,59264
66,59265
67,59338
68,59339
69,60815
