,CID
0,88
1,13540
2,13541
3,13542
4,13543
5,13544
6,13545
7,13546
8,13547
9,13548
10,13549
11,13550
12,13551
13,13552
14,13553
15,13554
16,13555
17,13556
18,13557
19,13558
20,13559
21,13560
22,13561
23,13562
24,13563
25,13564
26,13565
27,13566
28,13567
29,13568
30,13569
31,13570
32,13571
33,13572
34,13573
35,13574
36,13575
37,13576
38,13577
39,13578
40,14170
41,14402
42,14403
43,14404
44,14406
45,14407
46,14408
47,14410
48,14419
49,14483
50,14484
51,14485
52,14486
53,14504
54,14505
55,14515
56,20673
57,21035
58,21036
59,21037
60,21038
61,21039
62,21040
63,21041
64,21042
65,21115
66,21244
67,21270
68,21273
69,21277
70,21375
71,21380
72,27959
73,27960
74,27961
75,27962
76,27963
77,27964
78,27965
79,27966
80,27967
81,27968
82,27969
83,27970
84,27971
85,27972
86,28207
87,28208
88,28210
89,28274
90,28275
91,28276
92,28277
93,28279
94,33050
95,33051
96,34979
97,35404
98,35405
99,35561
100,35668
101,35716
102,35717
103,35718
104,35719
105,35809
106,35810
107,35813
108,35825
109,42039
110,42040
111,42041
112,42042
113,42043
114,42044
115,42417
116,42418
117,42419
118,42420
119,42421
120,42604
121,42605
122,42606
123,42699
124,42700
125,42701
126,42702
127,42704
128,42756
129,42757
130,42760
131,42762
132,42835
133,43018
134,44604
135,44606
136,44607
137,44609
138,44612
139,44613
140,44614
141,44616
142,44617
143,44618
144,44619
145,44620
146,44621
147,44622
148,44623
149,44624
150,44626
151,44628
152,49662
153,49663
154,50078
155,50079
156,50080
157,50081
158,50082
159,50083
160,50397
161,50398
162,50399
163,50400
164,50446
165,50447
166,50448
167,50449
168,50450
169,50474
170,50475
171,50476
172,50477
173,50478
174,50479
175,50480
176,50481
177,50579
178,50591
179,50592
180,50593
181,50594
182,50601
183,56613
184,56614
185,56615
186,56616
187,56617
188,56618
189,57151
190,57153
191,57154
192,57177
193,57252
194,57268
195,57269
196,63306
197,63307
198,63308
199,63430
200,63431
201,63432
202,63433
203,63434
204,63721
