,customer,weight,round,length
0,"[27, 222, 188, 187, 22, 150, 160, 217, 159, 271, 264, 190, 33]","[1, 1, 1, 1, 2, 1, 2, 1, 1, 1, 1, 1, 1]",0,3207.006899285
1,"[38, 132, 232, 227, 226, 77, 75, 76, 19, 209, 88]","[1, 2, 2, 1, 1, 2, 1, 1, 1, 2, 1]",0,2805.1190411683
2,"[178, 23, 250, 66, 18, 81, 255, 84, 131, 91]","[1, 1, 2, 1, 2, 1, 2, 1, 2, 2]",0,3103.680963912
3,"[157, 92, 263, 172, 29, 31, 259, 260, 153, 152, 237, 236]","[2, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 2]",0,3336.552343295
4,"[229, 121, 79, 110, 10, 243, 63, 62, 251]","[1, 3, 1, 2, 1, 2, 2, 1, 2]",1,4781.998381905
5,"[85, 55, 4, 254, 253, 129, 113, 112, 185, 213, 211]","[1, 2, 1, 1, 1, 2, 1, 1, 1, 3, 1]",1,4726.225667725999
6,"[169, 170, 266, 133, 216, 182, 238, 168, 203, 50, 212]","[2, 1, 2, 1, 1, 3, 1, 1, 1, 1, 1]",1,5590.663456162699
7,"[230, 166, 235, 234, 257, 258, 231, 28, 181, 138, 137, 125]","[1, 1, 1, 1, 2, 1, 1, 1, 3, 1, 1, 1]",1,4666.878244149
8,"[196, 57, 198, 197, 147, 148, 163, 144, 146, 200, 142, 174, 141]","[1, 2, 1, 1, 1, 1, 1, 2, 1, 1, 1, 1, 1]",2,5308.8966683513
9,"[13, 49, 126, 122, 46, 149, 214, 61]","[1, 2, 3, 3, 1, 3, 1, 1]",2,6364.898934616999
10,"[242, 171, 241, 202, 240, 177]","[4, 6, 2, 1, 1, 1]",2,3858.6683972640003
11,"[176, 221, 218, 219, 71, 208, 69, 207, 275, 274, 216]","[1, 1, 1, 1, 2, 1, 1, 1, 3, 2, 1]",2,7867.855669488699
12,"[70, 145, 279, 99, 281]","[3, 1, 3, 1, 1]",3,7400.017384210999
13,[],[],3,0.0
14,[],[],3,0.0
15,[],[],3,0.0
