,CID
0,1713
1,2610
2,3003
3,3004
4,3005
5,3006
6,3007
7,4390
8,4396
9,4397
10,4398
11,4978
12,4984
13,4985
14,4986
15,4993
16,4994
17,4995
18,5352
19,5357
20,5358
21,5640
22,6027
23,6135
24,6137
25,6138
26,6466
27,6472
28,6473
29,6474
30,6475
31,6477
32,6478
33,6479
34,7656
35,7657
36,7658
37,7659
38,8231
39,8684
40,8685
41,10585
42,10586
43,10588
44,10589
45,17528
46,17529
47,17530
48,17532
49,17533
50,24340
51,24341
52,31707
53,31708
54,39210
55,39211
56,46510
57,46535
58,46536
59,46537
60,46538
61,46539
62,46634
63,46641
64,46642
65,46647
66,46648
67,46649
68,46650
69,46651
70,46652
71,46653
72,46654
73,46655
74,46656
75,46657
76,46658
77,46659
78,46660
79,46661
80,46662
81,46665
82,46666
83,46667
84,46668
85,46669
86,46680
87,46681
88,46682
89,53659
90,53660
91,53661
92,53663
93,53664
94,53676
95,53677
96,53678
97,53679
98,53689
99,53690
100,53691
101,53692
102,60056
103,60057
104,60058
105,60059
106,60060
107,60073
