,BID
0,27920
1,28079
2,28083
3,28154
4,28163
5,28212
6,28288
7,28291
8,28300
9,28344
10,28356
11,28374
12,28426
13,28427
14,28433
15,28491
16,28516
17,28568
18,28582
19,28622
20,28645
21,28711
22,28730
23,28736
24,28753
25,28799
26,28807
27,28847
28,28868
29,28874
30,28877
31,28895
32,28942
33,28955
34,28964
35,28973
36,28984
37,29002
38,29003
39,29017
40,29023
41,29031
42,29037
43,29077
44,29079
45,29080
46,29093
47,29100
48,29103
49,29129
50,29142
51,29165
52,29186
53,29191
54,29198
55,29217
56,29232
57,29256
58,29258
59,29273
60,29293
61,29295
62,29313
63,29331
64,29371
65,29395
66,29399
67,29422
68,29501
69,29523
70,29617
