,CID
0,667
1,668
2,670
3,946
4,947
5,962
6,4715
7,4716
8,4717
9,4718
10,4719
11,4720
12,10921
13,11168
14,11169
15,11170
16,11880
17,11881
18,11882
19,11883
20,16743
21,16744
22,16745
23,18183
24,18184
25,18185
26,18186
27,18187
28,18949
29,18950
30,24994
31,25809
32,25810
33,25811
34,25812
35,25813
36,32077
37,32078
38,32080
39,32081
40,32083
41,32267
42,32268
43,32269
44,32272
45,32273
46,32274
47,32920
48,39683
49,39684
50,40343
51,40344
52,47041
53,47043
54,47279
55,47280
56,47281
57,47282
58,47283
59,47284
60,48023
61,48024
62,48025
63,48026
64,48027
65,54217
66,54218
67,54219
68,54220
69,54221
70,54222
71,54223
72,54226
73,54227
74,54231
75,54232
76,54233
77,54235
78,54236
79,54237
80,54238
81,54910
82,54911
83,54912
84,60653
85,60654
86,60655
