,customer,weight,round,length
0,"[51, 263, 175, 235, 22, 228, 187, 184, 182, 188, 119, 122, 121, 73]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 2, 1]",0,9523.368999550303
1,"[208, 149, 147, 61, 114, 150, 222, 65, 164, 64, 84, 88]","[1, 2, 1, 2, 1, 1, 1, 1, 1, 1, 2, 1]",0,5019.471266238999
2,"[292, 264, 19, 288, 55, 56, 143, 144, 140, 145, 278, 269, 262, 39]","[1, 1, 1, 1, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1]",0,8231.674019635
3,"[83, 248, 16, 241, 102, 100, 280, 286, 282, 42, 204, 106, 257]","[1, 2, 1, 1, 1, 1, 1, 1, 1, 2, 1, 1, 1]",0,4601.3971161791005
4,"[52, 37, 71, 36, 203, 152, 113, 44, 54, 127, 107]","[2, 1, 1, 1, 2, 1, 2, 1, 1, 1, 2]",0,7289.2474007966
5,[],[],1,0.0
6,[],[],1,0.0
7,[],[],1,0.0
8,"[173, 117, 49]","[2, 1, 1]",1,2000000611.1879427
9,[],[],1,0.0
