,CID
0,11305
1,11306
2,11307
3,11308
4,11309
5,11313
6,11419
7,11745
8,18810
9,19501
10,25170
11,25171
12,25192
13,25193
14,25194
15,25195
16,25196
17,25197
18,25198
19,25199
20,25314
21,25315
22,25316
23,25678
24,25699
25,25700
26,25998
27,26122
28,32388
29,32466
30,32467
31,32837
32,32838
33,33240
34,33268
35,33326
36,33353
37,39836
38,39837
39,39838
40,39840
41,39844
42,39845
43,39846
44,39847
45,39848
46,39849
47,39850
48,39926
49,39927
50,40203
51,40204
52,40219
53,40818
54,40881
55,47481
56,47482
57,47483
58,47484
59,47485
60,47486
61,47489
62,47571
63,47572
64,47573
65,47574
66,47575
67,47576
68,47577
69,47578
70,48233
71,54467
72,54468
73,54469
74,54823
75,54824
76,54825
77,55543
78,60802
79,60861
80,60862
81,60863
82,60864
83,60865
84,60866
85,60867
86,60868
87,61162
88,61166
89,61167
90,61168
91,61555
