,customer,weight,round,length
0,"[26, 30, 44, 51]","[8, 4, 1, 2]",0,1633.6811392480001
1,"[51, 50, 85, 90, 47, 48]","[2, 1, 6, 4, 1, 1]",1,2297.4844493047
2,"[85, 45, 61]","[8, 1, 6]",2,708.176186728
3,"[62, 60]","[13, 2]",3,693.719997399
4,"[59, 60, 9, 15, 8, 22, 65]","[5, 4, 2, 1, 1, 1, 1]",4,4579.5303482617
5,"[17, 11, 10, 16, 7, 24, 76, 25, 64, 57]","[1, 1, 1, 5, 1, 1, 1, 1, 1, 2]",5,5856.1775852083
6,"[33, 3, 41, 39, 19, 81, 56, 14]","[2, 1, 1, 1, 2, 2, 1, 5]",6,6638.7552716909
7,"[2, 1, 38, 27, 40, 80, 54]","[3, 4, 1, 2, 2, 2, 1]",7,6836.321290995
8,"[18, 1, 72, 23, 37, 75, 88, 28, 12, 78]","[1, 6, 1, 1, 1, 1, 1, 1, 1, 1]",8,7738.378228806799
9,"[0, 70, 87, 49, 86, 69, 68, 43, 31]","[4, 1, 1, 1, 1, 1, 3, 1, 1]",9,6777.7554439204005
