,customer,weight,round,length
0,"[94, 175, 174, 106, 155, 135, 161, 154, 153, 156, 131]","[1, 1, 1, 1, 3, 1, 1, 1, 1, 1, 3]",0,18508.915498757997
1,"[99, 97, 47, 103, 8, 7, 160, 6, 2, 98, 90]","[1, 1, 2, 1, 1, 1, 1, 1, 3, 1, 2]",0,1873.4700633697003
2,"[91, 130, 93, 58, 150, 109, 151, 41, 40, 39, 61, 157, 146]","[1, 1, 1, 1, 1, 3, 1, 1, 1, 1, 1, 1, 1]",0,5397.085000057399
3,"[62, 57, 115, 140, 116, 118, 79, 168, 117, 167]","[5, 1, 1, 1, 1, 2, 1, 1, 1, 1]",0,2508.112415808
4,"[51, 64, 69, 73, 71, 70, 63, 0, 5, 14, 45]","[1, 2, 1, 1, 1, 1, 2, 1, 1, 2, 2]",1,3027.3854269829003
5,"[35, 34, 33, 108, 107, 59, 165, 54, 22, 21, 83, 81, 53, 52]","[2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",1,2543.9871766532005
6,"[55, 80, 141, 142, 145, 120, 143, 170, 169]","[2, 1, 2, 1, 2, 1, 3, 1, 2]",1,2778.77923017
7,"[50, 100, 102, 49, 48, 37, 85, 87, 36, 88, 129, 89]","[1, 3, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1]",1,1610.4990383467998
8,[],[],2,0.0
9,"[164, 19, 18, 163, 75, 27, 74, 101]","[1, 2, 1, 3, 2, 1, 1, 1]",2,3111.3135857680004
10,"[68, 172, 67, 66, 104, 125, 173, 126, 122]","[1, 1, 1, 3, 3, 1, 2, 2, 1]",2,2797.5006946180993
11,[],[],2,0.0
