,CID
0,5079
1,5399
2,11133
3,11134
4,11135
5,11136
6,11137
7,11145
8,11146
9,11147
10,11148
11,11149
12,11150
13,11151
14,11153
15,11154
16,11157
17,12368
18,12369
19,12370
20,12371
21,12372
22,12374
23,12375
24,12451
25,12518
26,12519
27,12520
28,12521
29,12522
30,12523
31,18445
32,18446
33,18448
34,18458
35,19462
36,19463
37,19464
38,19465
39,19466
40,19471
41,19472
42,19473
43,19474
44,19475
45,19476
46,19477
47,19479
48,19481
49,19483
50,19631
51,24641
52,24643
53,24644
54,24646
55,24647
56,24651
57,24652
58,24653
59,33447
60,33449
61,39681
62,39682
63,40779
64,40780
65,40781
66,40794
67,40795
68,40796
69,41022
70,47285
71,47286
72,47287
73,47288
74,48499
75,48501
76,48502
77,48503
78,55426
79,55427
80,55428
81,55429
82,55430
83,60641
84,60642
85,60643
86,60644
87,60645
88,60646
89,60648
90,60649
91,61692
92,61693
