,customer,weight,round,length
0,"[163, 111, 76, 60, 28, 27, 188, 133]","[2, 2, 3, 1, 2, 2, 2, 1]",0,4640.989822850001
1,"[150, 152, 102, 153, 154, 122, 148, 79, 86, 100, 23, 55, 46]","[1, 1, 1, 1, 1, 2, 1, 1, 1, 1, 1, 2, 1]",0,5076.193189341
2,"[164, 6, 168, 169, 171, 12, 117, 97, 3, 68, 120, 129]","[1, 1, 2, 1, 1, 1, 1, 2, 2, 1, 1, 1]",0,18403.653172033995
3,"[19, 113, 17, 139, 2, 65]","[1, 2, 1, 1, 1, 3]",1,12701.7093587981
4,"[123, 124, 109, 58, 144, 142, 183, 114, 115, 141, 14]","[1, 1, 1, 3, 1, 1, 1, 1, 2, 1, 2]",1,17620.433080066097
5,"[78, 89, 91, 92, 187]","[1, 1, 1, 3, 1]",1,23550.0866077238
