,customer,weight,round,length
0,"[102, 173, 50, 49, 159, 48, 82, 137, 45, 46, 80, 149, 64, 148]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 2, 1, 1, 1]",0,4761.7163927546
1,"[60, 121, 61, 62, 72, 73, 122, 75, 74, 107, 83, 70, 100]","[1, 1, 1, 2, 1, 1, 1, 1, 1, 1, 1, 1, 2]",0,3183.6743718674006
2,"[141, 143, 42, 30, 29, 162, 125, 114, 115, 124, 111, 123, 157]","[2, 1, 1, 1, 1, 1, 1, 2, 1, 1, 1, 1, 1]",0,4809.7542685923
3,"[154, 155, 151, 103, 51, 106, 4, 5, 53, 7, 86, 8]","[1, 2, 1, 1, 1, 2, 2, 1, 1, 1, 1, 1]",0,5095.727355239999
4,"[136, 135, 169, 14, 118, 96, 164, 68, 78, 77, 140, 109, 108, 84]","[1, 1, 1, 1, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1]",0,5703.939678187699
5,"[0, 1, 93, 131, 130, 132, 129, 56]","[1, 1, 1, 1, 1, 1, 1, 1]",1,5376.278768133501
6,[],[],1,0.0
7,"[119, 13, 90, 95, 133, 166]","[1, 1, 1, 2, 2, 3]",1,5331.924727111
8,[],[],1,0.0
9,[],[],1,0.0
