,customer,weight,round,length
0,"[71, 191, 197, 196, 31, 34, 254, 138, 90, 166, 216, 251, 249]","[3, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",0,7743.401268036
1,"[263, 98, 107, 60, 177, 179, 178, 62, 260, 195, 225, 212, 139]","[1, 1, 1, 1, 1, 1, 1, 1, 2, 1, 1, 1, 1]",0,5889.895952797
2,"[223, 128, 221, 131, 132, 11, 83, 237, 222, 127, 176, 248, 4]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 3]",0,8846.268162219
3,[],[],0,0.0
4,"[228, 145, 63, 227, 204, 65, 103, 74, 229]","[1, 1, 1, 1, 1, 1, 1, 1, 1]",0,10569.5016108
